task_id,condition,run_number,correct,rubric_score,shae_c,response_length,tokens_used,wall_clock_seconds,task_type,meta_category,difficulty
T06,baseline,3,1,1.0,1.0,1362,744,7.89,A2,A,easy
T06,baseline,4,1,1.0,1.0,1689,874,11.73,A2,A,easy
T06,baseline,5,1,1.0,1.0,1413,736,5.8,A2,A,easy
T06,chain-of-thought,1,1,1.0,1.0,2908,1436,16.14,A2,A,easy
T06,chain-of-thought,2,1,1.0,1.0,2995,1451,14.25,A2,A,easy
T06,chain-of-thought,3,1,1.0,1.0,2978,1423,20.84,A2,A,easy
T06,chain-of-thought,4,1,1.0,1.0,3247,1442,15.74,A2,A,easy
T06,chain-of-thought,5,1,1.0,1.0,2690,1293,13.62,A2,A,easy
T06,arc-informed,1,1,1.0,1.0,3857,1592,15.84,A2,A,easy
T06,arc-informed,2,1,1.0,1.0,2917,1283,10.84,A2,A,easy
T06,arc-informed,3,1,1.0,1.0,3045,1281,15.84,A2,A,easy
T06,arc-informed,4,1,1.0,1.0,2844,1293,15.12,A2,A,easy
T06,arc-informed,5,1,1.0,1.0,3201,1413,11.95,A2,A,easy
T07,baseline,1,1,1.0,1.0,920,418,5.86,A2,A,medium
T07,baseline,2,1,1.0,1.0,967,421,6.08,A2,A,medium
T07,baseline,3,1,1.0,1.0,909,411,6.92,A2,A,medium
T07,baseline,4,1,1.0,1.0,931,418,8.44,A2,A,medium
T07,baseline,5,1,1.0,1.0,925,413,11.3,A2,A,medium
T07,chain-of-thought,1,1,1.0,1.0,1920,752,11.17,A2,A,medium
T07,chain-of-thought,2,1,1.0,1.0,2065,799,14.64,A2,A,medium
T07,chain-of-thought,3,1,1.0,1.0,2037,772,14.41,A2,A,medium
T07,chain-of-thought,4,1,1.0,1.0,2140,839,16.64,A2,A,medium
T07,chain-of-thought,5,1,1.0,1.0,1803,742,13.77,A2,A,medium
T07,arc-informed,1,1,1.0,1.0,2890,966,16.5,A2,A,medium
T07,arc-informed,2,1,1.0,1.0,2768,930,15.16,A2,A,medium
T07,arc-informed,3,1,1.0,1.0,2530,907,13.19,A2,A,medium
T07,arc-informed,4,1,1.0,1.0,2842,977,14.12,A2,A,medium
T07,arc-informed,5,1,1.0,1.0,2891,995,16.98,A2,A,medium
T08,baseline,1,1,1.0,1.0,1255,605,8.98,A2,A,medium
T08,baseline,2,1,1.0,1.0,2187,853,8.94,A2,A,medium
T08,baseline,3,1,1.0,1.0,1312,609,6.66,A2,A,medium
T08,baseline,4,1,1.0,1.0,1253,603,8.95,A2,A,medium
T08,baseline,5,1,1.0,1.0,1245,603,4.55,A2,A,medium
T08,chain-of-thought,1,1,1.0,1.0,3090,1159,19.38,A2,A,medium
T08,chain-of-thought,2,1,1.0,1.0,2634,1003,12.25,A2,A,medium
T08,chain-of-thought,3,1,1.0,1.0,2525,976,12.31,A2,A,medium
T08,chain-of-thought,4,1,1.0,1.0,2326,952,14.88,A2,A,medium
T08,chain-of-thought,5,1,1.0,1.0,2306,923,15.05,A2,A,medium
T08,arc-informed,1,1,1.0,1.0,3137,1139,13.53,A2,A,medium
T08,arc-informed,2,1,1.0,1.0,2941,1093,17.89,A2,A,medium
T08,arc-informed,3,1,1.0,1.0,3423,1220,15.41,A2,A,medium
T08,arc-informed,4,1,1.0,1.0,3114,1126,12.94,A2,A,medium
T08,arc-informed,5,1,1.0,1.0,3236,1166,20.38,A2,A,medium
T09,baseline,1,1,1.0,1.0,1115,640,4.91,A2,A,easy
T09,baseline,2,1,0.9,1.0,1247,707,5.14,A2,A,easy
T09,baseline,3,1,1.0,1.0,1070,635,4.75,A2,A,easy
T09,baseline,4,1,1.0,1.0,1279,740,7.42,A2,A,easy
T09,baseline,5,1,1.0,1.0,1219,684,5.05,A2,A,easy
T09,chain-of-thought,1,1,1.0,1.0,2194,1152,10.2,A2,A,easy
T09,chain-of-thought,2,1,1.0,1.0,1930,1122,10.05,A2,A,easy
T09,chain-of-thought,3,1,1.0,1.0,1972,1096,7.89,A2,A,easy
T09,chain-of-thought,4,1,0.9,1.0,1971,1176,10.49,A2,A,easy
T09,chain-of-thought,5,1,1.0,1.0,2158,1270,13.14,A2,A,easy
T09,arc-informed,1,1,1.0,1.0,2733,1238,14.86,A2,A,easy
T09,arc-informed,2,1,1.0,1.0,2443,1127,9.38,A2,A,easy
T09,arc-informed,3,1,1.0,1.0,2697,1138,15.62,A2,A,easy
T09,arc-informed,4,1,1.0,1.0,2844,1249,10.0,A2,A,easy
T09,arc-informed,5,1,1.0,1.0,2638,1110,11.03,A2,A,easy
T10,baseline,1,1,0.8,1.0,2552,938,9.2,A2,A,hard
T10,baseline,2,1,0.8,1.0,2092,789,8.55,A2,A,hard
T10,baseline,3,1,0.8,1.0,1990,777,7.89,A2,A,hard
T10,baseline,4,1,0.8,1.0,2222,815,11.41,A2,A,hard
T10,baseline,5,1,1.0,1.0,2031,776,11.61,A2,A,hard
T10,chain-of-thought,1,1,0.8,1.0,2900,1073,15.23,A2,A,hard
T10,chain-of-thought,2,1,0.8,1.0,2634,999,15.53,A2,A,hard
T10,chain-of-thought,3,1,0.8,1.0,2885,1049,12.12,A2,A,hard
T10,chain-of-thought,4,1,0.8,1.0,2876,1057,12.8,A2,A,hard
T10,chain-of-thought,5,1,0.8,1.0,2498,986,14.52,A2,A,hard
T10,arc-informed,1,1,1.0,1.0,3298,1180,19.09,A2,A,hard
T10,arc-informed,2,1,0.8,1.0,3704,1279,23.61,A2,A,hard
T10,arc-informed,3,1,0.8,1.0,3036,1112,14.91,A2,A,hard
T10,arc-informed,4,1,0.8,1.0,3366,1232,15.3,A2,A,hard
T10,arc-informed,5,1,0.8,1.0,3799,1299,16.47,A2,A,hard
T11,baseline,1,1,1.0,1.0,2286,1019,9.66,A3,A,medium
T11,baseline,2,1,1.0,1.0,2368,1034,7.95,A3,A,medium
T11,baseline,3,1,1.0,1.0,2432,1050,9.83,A3,A,medium
T11,baseline,4,1,1.0,1.0,2559,1088,10.45,A3,A,medium
T11,baseline,5,1,1.0,1.0,2320,985,7.7,A3,A,medium
T11,chain-of-thought,1,1,1.0,1.0,1976,991,9.25,A3,A,medium
T11,chain-of-thought,2,1,1.0,1.0,2823,1251,9.94,A3,A,medium
T11,chain-of-thought,3,1,1.0,1.0,2149,1003,9.41,A3,A,medium
T11,chain-of-thought,4,1,1.0,1.0,2295,1047,8.17,A3,A,medium
T11,chain-of-thought,5,1,1.0,1.0,2379,1123,12.92,A3,A,medium
T11,arc-informed,1,1,1.0,1.0,3179,1265,10.56,A3,A,medium
T11,arc-informed,2,1,1.0,1.0,3234,1333,12.81,A3,A,medium
T11,arc-informed,3,1,1.0,1.0,2881,1164,20.72,A3,A,medium
T11,arc-informed,4,1,1.0,1.0,3526,1431,11.53,A3,A,medium
T11,arc-informed,5,1,1.0,1.0,3188,1197,10.5,A3,A,medium
T12,baseline,1,1,1.0,1.0,8111,2491,27.34,A3,A,medium
T12,baseline,2,1,1.0,1.0,7565,2368,26.08,A3,A,medium
T12,baseline,3,1,1.0,1.0,7418,2238,43.28,A3,A,medium
T12,baseline,4,1,1.0,1.0,8713,2559,25.89,A3,A,medium
T12,baseline,5,1,1.0,1.0,8609,2640,26.83,A3,A,medium
T12,chain-of-thought,1,1,1.0,1.0,4414,1515,17.91,A3,A,medium
T12,chain-of-thought,2,1,1.0,1.0,5686,1815,21.36,A3,A,medium
T12,chain-of-thought,3,1,1.0,1.0,5178,1695,21.52,A3,A,medium
T12,chain-of-thought,4,1,1.0,1.0,5211,1716,22.16,A3,A,medium
T12,chain-of-thought,5,1,1.0,1.0,5033,1668,18.73,A3,A,medium
T12,arc-informed,1,1,1.0,1.0,6846,2145,19.91,A3,A,medium
T12,arc-informed,2,1,1.0,1.0,7244,2233,20.3,A3,A,medium
T12,arc-informed,3,1,1.0,1.0,7530,2336,26.28,A3,A,medium
T12,arc-informed,4,1,1.0,1.0,7543,2310,20.3,A3,A,medium
T12,arc-informed,5,1,1.0,1.0,6435,2038,18.44,A3,A,medium
T13,baseline,1,1,1.0,1.0,4260,1260,17.3,A3,A,hard
T13,baseline,2,1,1.0,1.0,3172,992,8.31,A3,A,hard
T13,baseline,3,1,1.0,1.0,3100,998,13.47,A3,A,hard
T13,baseline,4,1,1.0,1.0,2600,881,7.69,A3,A,hard
T13,baseline,5,1,1.0,1.0,3085,953,8.19,A3,A,hard
T13,chain-of-thought,1,1,1.0,1.0,4519,1468,13.45,A3,A,hard
T13,chain-of-thought,2,1,1.0,1.0,4444,1496,12.44,A3,A,hard
T13,chain-of-thought,3,1,1.0,1.0,2925,1074,9.22,A3,A,hard
T13,chain-of-thought,4,1,1.0,1.0,5015,1638,15.62,A3,A,hard
T13,chain-of-thought,5,1,1.0,1.0,6240,1939,17.55,A3,A,hard
T13,arc-informed,1,1,1.0,1.0,3669,1258,10.64,A3,A,hard
T13,arc-informed,2,1,1.0,1.0,4422,1463,13.69,A3,A,hard
T13,arc-informed,3,1,1.0,1.0,4307,1373,12.45,A3,A,hard
T13,arc-informed,4,1,1.0,1.0,3792,1268,13.08,A3,A,hard
T13,arc-informed,5,1,1.0,1.0,3882,1305,13.73,A3,A,hard
T14,baseline,1,1,1.0,1.0,3482,1180,16.72,A3,A,medium
T14,baseline,2,1,1.0,1.0,4005,1280,11.25,A3,A,medium
T14,baseline,3,1,1.0,1.0,3310,1137,12.08,A3,A,medium
T14,baseline,4,1,1.0,1.0,3355,1121,11.45,A3,A,medium
T14,baseline,5,1,1.0,1.0,4832,1519,14.94,A3,A,medium
T14,chain-of-thought,1,1,1.0,1.0,3858,1378,21.02,A3,A,medium
T14,chain-of-thought,2,1,1.0,1.0,4025,1459,16.94,A3,A,medium
T14,chain-of-thought,3,1,1.0,1.0,4259,1490,25.66,A3,A,medium
T14,chain-of-thought,4,1,1.0,1.0,3999,1398,19.22,A3,A,medium
T14,chain-of-thought,5,1,1.0,1.0,4181,1471,16.19,A3,A,medium
T14,arc-informed,1,1,1.0,1.0,3515,1219,13.98,A3,A,medium
T14,arc-informed,2,1,1.0,1.0,4541,1494,14.11,A3,A,medium
T14,arc-informed,3,1,1.0,1.0,5164,1707,15.56,A3,A,medium
T14,arc-informed,4,1,1.0,1.0,4067,1396,12.72,A3,A,medium
T14,arc-informed,5,1,1.0,1.0,4590,1530,14.06,A3,A,medium
T15,baseline,1,1,1.0,1.0,5897,1774,16.31,A3,A,hard
T15,baseline,2,1,1.0,1.0,5355,1542,14.64,A3,A,hard
T15,baseline,3,1,1.0,1.0,6037,1748,15.77,A3,A,hard
T15,baseline,4,1,1.0,1.0,5738,1741,15.11,A3,A,hard
T15,baseline,5,1,1.0,1.0,7451,2127,19.08,A3,A,hard
T15,chain-of-thought,1,1,1.0,1.0,5855,1784,16.0,A3,A,hard
T15,chain-of-thought,2,1,1.0,1.0,5595,1701,14.97,A3,A,hard
T15,chain-of-thought,3,1,1.0,1.0,4732,1489,13.25,A3,A,hard
T15,chain-of-thought,4,1,1.0,1.0,5245,1715,17.55,A3,A,hard
T15,chain-of-thought,5,1,1.0,1.0,5622,1728,17.17,A3,A,hard
T15,arc-informed,1,1,1.0,1.0,5139,1634,20.83,A3,A,hard
T15,arc-informed,2,1,1.0,1.0,6189,1854,21.48,A3,A,hard
T15,arc-informed,3,1,1.0,1.0,6038,1849,24.8,A3,A,hard
T15,arc-informed,4,1,1.0,1.0,5392,1721,21.2,A3,A,hard
T15,arc-informed,5,1,1.0,1.0,5525,1785,28.69,A3,A,hard
T16,baseline,1,1,1.0,1.0,4511,1481,30.23,A4,A,hard
T16,baseline,2,1,1.0,1.0,4779,1555,16.84,A4,A,hard
T16,baseline,3,1,1.0,1.0,4381,1521,15.33,A4,A,hard
T16,baseline,4,1,1.0,1.0,4281,1426,17.64,A4,A,hard
T16,baseline,5,1,1.0,1.0,4655,1547,16.41,A4,A,hard
T16,chain-of-thought,1,1,1.0,1.0,4211,1582,15.56,A4,A,hard
T16,chain-of-thought,2,1,1.0,1.0,3722,1408,15.94,A4,A,hard
T16,chain-of-thought,3,1,1.0,1.0,3823,1413,14.3,A4,A,hard
T16,chain-of-thought,4,1,1.0,1.0,3985,1428,16.95,A4,A,hard
T16,chain-of-thought,5,1,1.0,1.0,3972,1435,16.16,A4,A,hard
T16,arc-informed,1,1,1.0,1.0,4880,1630,23.12,A4,A,hard
T16,arc-informed,2,1,1.0,1.0,5787,1887,32.89,A4,A,hard
T16,arc-informed,3,1,1.0,1.0,5618,1870,28.61,A4,A,hard
T16,arc-informed,4,1,1.0,1.0,5284,1716,27.59,A4,A,hard
T16,arc-informed,5,1,1.0,1.0,5945,1957,29.44,A4,A,hard
T17,baseline,1,1,1.0,1.0,11518,3260,46.17,A4,A,hard
T17,baseline,2,1,1.0,1.0,8765,2508,40.44,A4,A,hard
T17,baseline,3,1,1.0,1.0,8980,2712,50.12,A4,A,hard
T17,baseline,4,1,1.0,1.0,11810,3398,50.45,A4,A,hard
T17,baseline,5,1,1.0,1.0,6363,1975,35.31,A4,A,hard
T17,chain-of-thought,1,1,1.0,1.0,6180,1950,26.16,A4,A,hard
T17,chain-of-thought,2,1,1.0,1.0,4612,1544,25.28,A4,A,hard
T17,chain-of-thought,3,1,1.0,1.0,5647,1863,22.86,A4,A,hard
T17,chain-of-thought,4,1,1.0,1.0,5486,1768,24.62,A4,A,hard
T17,chain-of-thought,5,1,1.0,1.0,5406,1745,21.31,A4,A,hard
T17,arc-informed,1,1,1.0,1.0,5876,1786,21.91,A4,A,hard
T17,arc-informed,2,1,1.0,1.0,6275,1825,24.0,A4,A,hard
T17,arc-informed,3,1,1.0,1.0,6210,1919,22.27,A4,A,hard
T17,arc-informed,4,1,1.0,1.0,7084,2147,24.67,A4,A,hard
T17,arc-informed,5,1,1.0,1.0,6670,2255,36.08,A4,A,hard
T18,baseline,1,1,1.0,1.0,9739,2757,35.69,A4,A,medium
T18,baseline,2,1,1.0,1.0,9872,2696,38.0,A4,A,medium
T18,baseline,3,1,1.0,1.0,9399,2523,45.95,A4,A,medium
T18,baseline,4,1,1.0,1.0,7395,2046,31.33,A4,A,medium
T18,baseline,5,1,1.0,1.0,8323,2353,30.78,A4,A,medium
T18,chain-of-thought,1,1,1.0,1.0,4976,1527,27.83,A4,A,medium
T18,chain-of-thought,2,1,1.0,1.0,5335,1576,36.78,A4,A,medium
T18,chain-of-thought,3,1,1.0,1.0,6529,1983,27.88,A4,A,medium
T18,chain-of-thought,4,1,1.0,1.0,5008,1530,26.42,A4,A,medium
T18,chain-of-thought,5,1,1.0,1.0,4682,1432,26.62,A4,A,medium
T18,arc-informed,1,1,1.0,1.0,5235,1625,18.7,A4,A,medium
T18,arc-informed,2,1,1.0,1.0,5889,1882,20.14,A4,A,medium
T18,arc-informed,3,1,1.0,1.0,6168,1959,21.2,A4,A,medium
T18,arc-informed,4,1,1.0,1.0,8134,2338,24.67,A4,A,medium
T18,arc-informed,5,1,1.0,1.0,7143,2141,27.97,A4,A,medium
T19,baseline,1,1,1.0,1.0,4461,1701,19.23,A4,A,hard
T19,baseline,2,1,1.0,1.0,5085,1775,22.83,A4,A,hard
T19,baseline,3,1,1.0,1.0,4698,1766,25.31,A4,A,hard
T19,baseline,4,1,1.0,1.0,4236,1526,19.28,A4,A,hard
T19,baseline,5,1,1.0,1.0,4637,1590,18.75,A4,A,hard
T19,chain-of-thought,1,1,1.0,1.0,4269,1560,17.59,A4,A,hard
T19,chain-of-thought,2,1,1.0,1.0,4674,1668,19.76,A4,A,hard
T19,chain-of-thought,3,1,1.0,1.0,4624,1705,21.11,A4,A,hard
T19,chain-of-thought,4,1,1.0,1.0,3923,1406,17.41,A4,A,hard
T19,chain-of-thought,5,1,1.0,1.0,4712,1606,18.89,A4,A,hard
T19,arc-informed,1,1,1.0,1.0,5794,1908,24.3,A4,A,hard
T19,arc-informed,2,1,1.0,1.0,5406,1748,20.14,A4,A,hard
T19,arc-informed,3,1,1.0,1.0,5503,1805,21.62,A4,A,hard
T19,arc-informed,4,1,1.0,1.0,5454,1820,23.02,A4,A,hard
T19,arc-informed,5,1,1.0,1.0,5606,1867,23.91,A4,A,hard
T20,baseline,1,1,0.8,1.0,11200,3399,33.05,A4,A,medium
T20,baseline,2,1,0.8,1.0,10255,3321,32.67,A4,A,medium
T20,baseline,3,1,1.0,1.0,9755,3046,33.69,A4,A,medium
T20,baseline,4,1,0.8,1.0,10046,3312,33.0,A4,A,medium
T20,baseline,5,1,0.8,1.0,9829,3105,32.5,A4,A,medium
T20,chain-of-thought,1,1,1.0,1.0,6932,2346,26.88,A4,A,medium
T20,chain-of-thought,2,1,1.0,1.0,7269,2524,25.53,A4,A,medium
T20,chain-of-thought,3,1,1.0,1.0,6488,2053,20.58,A4,A,medium
T20,chain-of-thought,4,1,1.0,1.0,5746,1908,26.33,A4,A,medium
T20,chain-of-thought,5,1,1.0,1.0,6298,1992,28.84,A4,A,medium
T20,arc-informed,1,1,1.0,1.0,8128,2475,28.75,A4,A,medium
T20,arc-informed,2,1,1.0,1.0,8520,2669,29.81,A4,A,medium
T20,arc-informed,3,1,1.0,1.0,7715,2343,26.55,A4,A,medium
T20,arc-informed,4,1,1.0,1.0,6473,2113,23.41,A4,A,medium
T20,arc-informed,5,1,1.0,1.0,8825,2997,30.69,A4,A,medium
T21,baseline,1,0,0.5,0.0,23431,5928,55.27,A5,A,medium
T21,baseline,2,0,0.5,0.0,17872,4671,44.47,A5,A,medium
T21,baseline,3,0,0.5,0.0,17039,4466,49.92,A5,A,medium
T21,baseline,4,0,0.5,0.0,23938,6527,61.95,A5,A,medium
T21,baseline,5,0,0.5,0.0,22977,5975,51.28,A5,A,medium
T21,chain-of-thought,1,1,0.75,1.0,14378,3837,33.06,A5,A,medium
T21,chain-of-thought,2,1,0.75,1.0,12648,3755,33.03,A5,A,medium
T21,chain-of-thought,3,1,0.75,1.0,14058,3654,34.84,A5,A,medium
T21,chain-of-thought,4,1,0.75,1.0,15722,4081,35.56,A5,A,medium
T21,chain-of-thought,5,1,1.0,1.0,15220,3982,35.97,A5,A,medium
T21,arc-informed,1,1,1.0,1.0,8113,2165,26.08,A5,A,medium
T21,arc-informed,2,1,0.75,1.0,11959,3156,29.53,A5,A,medium
T21,arc-informed,3,1,0.75,1.0,6743,1873,23.69,A5,A,medium
T21,arc-informed,4,1,1.0,1.0,16887,4346,38.58,A5,A,medium
T21,arc-informed,5,1,1.0,1.0,11540,3068,29.53,A5,A,medium
T22,baseline,1,1,0.8,1.0,2183,540,14.05,A5,A,medium
T22,baseline,2,1,0.8,1.0,2771,702,9.44,A5,A,medium
T22,baseline,3,1,0.8,1.0,2533,664,9.25,A5,A,medium
T22,baseline,4,1,0.8,1.0,3214,886,11.61,A5,A,medium
T22,baseline,5,1,0.8,1.0,1940,475,6.91,A5,A,medium
T22,chain-of-thought,1,1,0.8,1.0,3909,963,17.86,A5,A,medium
T22,chain-of-thought,2,1,0.8,1.0,4084,1023,18.44,A5,A,medium
T22,chain-of-thought,3,1,0.8,1.0,3827,962,17.25,A5,A,medium
T22,chain-of-thought,4,1,0.8,1.0,3931,1025,19.45,A5,A,medium
T22,chain-of-thought,5,1,0.8,1.0,3607,903,19.91,A5,A,medium
T22,arc-informed,1,1,0.8,1.0,3658,944,16.83,A5,A,medium
T22,arc-informed,2,1,1.0,1.0,3825,1029,21.06,A5,A,medium
T22,arc-informed,3,1,1.0,1.0,3820,1017,18.84,A5,A,medium
T22,arc-informed,4,1,1.0,1.0,3899,1018,30.98,A5,A,medium
T22,arc-informed,5,1,1.0,1.0,3465,970,16.73,A5,A,medium
T23,baseline,1,1,0.75,1.0,1397,365,5.45,A5,A,medium
T23,baseline,2,1,0.75,1.0,1285,354,5.56,A5,A,medium
T23,baseline,3,1,0.75,1.0,1418,407,5.97,A5,A,medium
T23,baseline,4,1,0.75,1.0,1345,381,12.44,A5,A,medium
T23,baseline,5,1,0.75,1.0,1485,468,17.86,A5,A,medium
T23,chain-of-thought,1,1,1.0,1.0,2716,764,9.08,A5,A,medium
T23,chain-of-thought,2,1,1.0,1.0,2611,799,16.36,A5,A,medium
T23,chain-of-thought,3,1,1.0,1.0,2687,779,16.34,A5,A,medium
T23,chain-of-thought,4,1,1.0,1.0,2937,824,13.02,A5,A,medium
T23,chain-of-thought,5,1,1.0,1.0,2308,697,21.31,A5,A,medium
T23,arc-informed,1,1,1.0,1.0,3350,890,16.2,A5,A,medium
T23,arc-informed,2,1,1.0,1.0,2658,732,13.36,A5,A,medium
T23,arc-informed,3,1,1.0,1.0,3345,936,29.61,A5,A,medium
T23,arc-informed,4,1,1.0,1.0,3269,900,20.83,A5,A,medium
T23,arc-informed,5,1,1.0,1.0,3052,887,17.06,A5,A,medium
T24,baseline,1,1,1.0,1.0,21955,7218,60.61,A5,A,easy
T24,baseline,2,1,0.75,1.0,12604,3898,38.19,A5,A,easy
T24,baseline,3,1,0.75,1.0,14133,4406,38.0,A5,A,easy
T24,baseline,4,1,0.75,1.0,13548,4322,44.12,A5,A,easy
T24,baseline,5,1,1.0,1.0,12866,4004,32.95,A5,A,easy
T24,chain-of-thought,1,1,1.0,1.0,4709,1313,21.52,A5,A,easy
T24,chain-of-thought,2,1,1.0,1.0,13084,4133,45.11,A5,A,easy
T24,chain-of-thought,3,1,1.0,1.0,3811,1092,21.89,A5,A,easy
T24,chain-of-thought,4,1,1.0,1.0,2419,673,15.78,A5,A,easy
T24,chain-of-thought,5,1,0.75,1.0,12753,4228,43.91,A5,A,easy
T24,arc-informed,1,1,1.0,1.0,2842,788,19.25,A5,A,easy
T24,arc-informed,2,1,1.0,1.0,3060,826,20.58,A5,A,easy
T24,arc-informed,3,1,1.0,1.0,3485,893,16.69,A5,A,easy
T24,arc-informed,4,1,1.0,1.0,2611,721,14.05,A5,A,easy
T24,arc-informed,5,1,1.0,1.0,3384,898,20.06,A5,A,easy
